code,level,label,parent_code
330408,field,"Strategic, metropolitan and regional planning",3304
330409,field,Transport planning,3304
330410,field,Urban analysis and development,3304
330411,field,Urban design,3304
330412,field,Urban informatics,3304
330413,field,Urban planning and health,3304
330499,field,Urban and regional planning not elsewhere classified,3304
3399,group,Other built environment and design,33
339999,field,Other built environment and design not elsewhere classified,3399
34,division,CHEMICAL SCIENCES,
3401,group,Analytical chemistry,34
340101,field,Analytical spectrometry,3401
340102,field,Bioassays,3401
340103,field,Electroanalytical chemistry,3401
340104,field,Flow analysis,3401
340105,field,Instrumental methods (excl. immunological and bioassay methods),3401
340106,field,Metabolomic chemistry,3401
340107,field,"Quality assurance, chemometrics, traceability and metrological chemistry",3401
340108,field,Sensor technology (incl. chemical aspects),3401
340109,field,Separation science,3401
340199,field,Analytical chemistry not elsewhere classified,3401
3402,group,Inorganic chemistry,34
340201,field,Bioinorganic chemistry,3402
340202,field,Crystallography,3402
340203,field,F-block chemistry,3402
340204,field,Inorganic green chemistry,3402
340205,field,Main group metal chemistry,3402
340206,field,Metal cluster chemistry,3402
340207,field,Metal organic frameworks,3402
340208,field,Non-metal chemistry,3402
340209,field,Organometallic chemistry,3402
340210,field,Solid state chemistry,3402
340211,field,Transition metal chemistry,3402
340299,field,Inorganic chemistry not elsewhere classified,3402
3403,group,Macromolecular and materials chemistry,34
340301,field,Inorganic materials (incl. nanomaterials),3403
340302,field,Macromolecular materials,3403
340303,field,Nanochemistry,3403
340304,field,Optical properties of materials,3403
340305,field,Physical properties of materials,3403
340306,field,Polymerisation mechanisms,3403
340307,field,Structure and dynamics of materials,3403
340308,field,Supramolecular chemistry,3403
340309,field,Theory and design of materials,3403
340399,field,Macromolecular and materials chemistry not elsewhere classified,3403
3404,group,Medicinal and biomolecular chemistry,34
340401,field,Biologically active molecules,3404
340402,field,Biomolecular modelling and design,3404
340403,field,Characterisation of biological macromolecules,3404
340404,field,Cheminformatics and quantitative structure-activity relationships,3404
340405,field,Glycoconjugates,3404
340406,field,Molecular medicine,3404
340407,field,Proteins and peptides,3404
340499,field,Medicinal and biomolecular chemistry not elsewhere classified,3404
3405,group,Organic chemistry,34
340501,field,Free radical chemistry,3405
340502,field,Natural products and bioactive compounds,3405
340503,field,Organic chemical synthesis,3405
340504,field,Organic green chemistry,3405
340505,field,Physical organic chemistry,3405
340599,field,Organic chemistry not elsewhere classified,3405
3406,group,Physical chemistry,34
340601,field,Catalysis and mechanisms of reactions,3406
340602,field,Chemical thermodynamics and energetics,3406
340603,field,Colloid and surface chemistry,3406
340604,field,Electrochemistry,3406
340605,field,Molecular imaging (incl. electron microscopy and neutron diffraction),3406
340606,field,Photochemistry,3406
340607,field,Reaction kinetics and dynamics,3406
340608,field,Solution chemistry,3406
340609,field,Transport properties and non-equilibrium processes,3406
340699,field,Physical chemistry not elsewhere classified,3406
3407,group,Theoretical and computational chemistry,34
340701,field,Computational chemistry,3407
340702,field,Radiation and matter,3407
340703,field,Statistical mechanics in chemistry,3407
340704,field,Theoretical quantum chemistry,3407
340799,field,Theoretical and computational chemistry not elsewhere classified,3407
3499,group,Other chemical sciences,34
349901,field,Forensic chemistry,3499
349999,field,Other chemical sciences not elsewhere classified,3499
35,division,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",
3501,group,"Accounting, auditing and accountability",35
350101,field,Accounting theory and standards,3501
350102,field,Auditing and accountability,3501
350103,field,Financial accounting,3501
350104,field,International accounting,3501
350105,field,Management accounting,3501
350106,field,Not-for-profit accounting and accountability,3501
350107,field,Sustainability accounting and reporting,3501
350108,field,Taxation accounting,3501
350199,field,"Accounting, auditing and accountability not elsewhere classified",3501
3502,group,"Banking, finance and investment",35
350201,field,Environment and climate finance,3502
350202,field,Finance,3502
350203,field,Financial econometrics,3502
350204,field,Financial institutions (incl. banking),3502
350205,field,Household finance and financial literacy,3502
350206,field,Insurance studies,3502
350207,field,International finance,3502
350208,field,Investment and risk management,3502
350209,field,Not-for-profit finance and risk,3502
350299,field,"Banking, finance and investment not elsewhere classified",3502
3503,group,Business systems in context,35
350301,field,Business analytics,3503
350302,field,"Business information management (incl. records, knowledge and intelligence)",3503
350303,field,Business information systems,3503
350304,field,Business systems in context,3503
350305,field,Forensic intelligence,3503
350306,field,Forensic science and management,3503
350307,field,Technology management,3503
350399,field,Business systems in context not elsewhere classified,3503
3504,group,Commercial services,35
350401,field,Food and hospitality services,3504
350402,field,Hospitality management,3504
350403,field,Real estate and valuation services,3504
350404,field,Retail,3504
350405,field,Sport and leisure management,3504
350499,field,Commercial services not elsewhere classified,3504
3505,group,Human resources and industrial relations,35
350501,field,Business and labour history,3505
350502,field,Employment equity and diversity,3505
350503,field,Human resources management,3505
350504,field,Industrial and employee relations,3505
350505,field,Occupational and workplace health and safety,3505
350506,field,Workforce planning,3505
350507,field,Workplace wellbeing and quality of working life,3505
350599,field,Human resources and industrial relations not elsewhere classified,3505
3506,group,Marketing,35
350601,field,Consumer behaviour,3506
350602,field,Consumer-oriented product or service development,3506
350603,field,Industrial marketing,3506
350604,field,Marketing communications,3506
350605,field,Marketing management (incl. strategy and customer relations),3506
350606,field,Marketing research methodology,3506
350607,field,Marketing technology,3506
350608,field,Marketing theory,3506
350609,field,Not-for-profit marketing,3506
350610,field,Pricing (incl. consumer value estimation),3506
350611,field,Service marketing,3506
350612,field,Social marketing,3506
350699,field,Marketing not elsewhere classified,3506
3507,group,"Strategy, management and organisational behaviour",35
350701,field,Corporate governance,3507
350702,field,Corporate social responsibility,3507
350703,field,Disaster and emergency management,3507
350704,field,Entrepreneurship,3507
350705,field,Innovation management,3507
350706,field,International business,3507
350707,field,Leadership,3507
350708,field,Not-for-profit business and management,3507
350709,field,Organisation and management theory,3507
350710,field,Organisational behaviour,3507
350711,field,Organisational planning and management,3507
350712,field,Production and operations management,3507
350713,field,Project management,3507
350714,field,Public sector organisation and management,3507
350715,field,Quality management,3507
350716,field,Small business organisation and management,3507
350717,field,Stakeholder engagement,3507
350718,field,Strategy,3507
350799,field,"Strategy, management and organisational behaviour not elsewhere classified",3507
3508,group,Tourism,35
350801,field,Impacts of tourism,3508
350802,field,Tourism forecasting,3508
350803,field,Tourism management,3508
350804,field,Tourism marketing,3508
350805,field,Tourism resource appraisal,3508
350806,field,Tourist behaviour and visitor experience,3508
350899,field,Tourism not elsewhere classified,3508
3509,group,"Transportation, logistics and supply chains",35
350901,field,Air transportation and freight services,3509
350902,field,Intelligent mobility,3509
350903,field,Logistics,3509
350904,field,Maritime transportation and freight services,3509
350905,field,Passenger needs,3509
350906,field,Public transport,3509
350907,field,Rail transportation and freight services,3509
350908,field,Road transportation and freight services,3509
350909,field,Supply chains,3509
350999,field,"Transportation, logistics and supply chains not elsewhere classified",3509
3599,group,"Other commerce, management, tourism and services",35
359999,field,"Other commerce, management, tourism and services not elsewhere classified",3599
36,division,CREATIVE ARTS AND WRITING,
3601,group,"Art history, theory and criticism",36
360101,field,Art criticism,3601
360102,field,Art history,3601
360103,field,Art theory,3601
360104,field,Visual cultures,3601
360199,field,"Art history, theory and criticism not elsewhere classified",3601
3602,group,Creative and professional writing,36
360201,field,Creative writing (incl. scriptwriting),3602
360202,field,Digital writing,3602
360203,field,Professional writing and journalism practice,3602
360204,field,Site-based writing,3602
360205,field,Technical writing,3602
360299,field,Creative and professional writing not elsewhere classified,3602
3603,group,Music,36
360301,field,Music cognition,3603
360302,field,Music composition and improvisation,3603
360303,field,Music education,3603
360304,field,Music performance,3603
360305,field,Music technology and recording,3603
360306,field,Musicology and ethnomusicology,3603
360399,field,Music not elsewhere classified,3603
3604,group,Performing arts,36
360401,field,Applied theatre,3604
360402,field,Dance and dance studies,3604
360403,field,"Drama, theatre and performance studies",3604
360499,field,Performing arts not elsewhere classified,3604
3605,group,Screen and digital media,36
360501,field,Cinema studies,3605
360502,field,Computer gaming and animation,3605
360503,field,Digital and electronic media art,3605
360504,field,Interactive media,3605
360505,field,Screen media,3605
360506,field,Visual effects,3605
360599,field,Screen and digital media not elsewhere classified,3605
3606,group,Visual arts,36
360601,field,Crafts,3606
360602,field,Fine arts,3606
360603,field,Performance art,3606
360604,field,"Photography, video and lens-based practice",3606
360699,field,Visual arts not elsewhere classified,3606
3699,group,Other creative arts and writing,36
369999,field,Other creative arts and writing not elsewhere classified,3699
37,division,EARTH SCIENCES,
3701,group,Atmospheric sciences,37
370101,field,Adverse weather events,3701
370102,field,Air pollution processes and air quality measurement,3701
370103,field,Atmospheric aerosols,3701
370104,field,"Atmospheric composition, chemistry and processes",3701
370105,field,Atmospheric dynamics,3701
370106,field,Atmospheric radiation,3701
370107,field,Cloud physics,3701
370108,field,Meteorology,3701
370109,field,Tropospheric and stratospheric physics,3701
370199,field,Atmospheric sciences not elsewhere classified,3701
3702,group,Climate change science,37
370201,field,Climate change processes,3702
370202,field,Climatology,3702
370203,field,Greenhouse gas inventories and fluxes,3702
370299,field,Climate change science not elsewhere classified,3702
3703,group,Geochemistry,37
370301,field,Exploration geochemistry,3703
370302,field,Inorganic geochemistry,3703
370303,field,Isotope geochemistry,3703
370304,field,Organic geochemistry,3703
370399,field,Geochemistry not elsewhere classified,3703
3704,group,Geoinformatics,37
370401,field,Computational modelling and simulation in earth sciences,3704
370402,field,Earth and space science informatics,3704
370403,field,Geoscience data visualisation,3704
370499,field,Geoinformatics not elsewhere classified,3704
3705,group,Geology,37
370501,field,Biomineralisation,3705
370502,field,Geochronology,3705
370503,field,Igneous and metamorphic petrology,3705
370504,field,Marine geoscience,3705
370505,field,Mineralogy and crystallography,3705
370506,field,Palaeontology (incl. palynology),3705
370507,field,Planetary geology,3705
370508,field,Resource geoscience,3705
370509,field,Sedimentology,3705
370510,field,"Stratigraphy (incl. biostratigraphy, sequence stratigraphy and basin analysis)",3705
370511,field,Structural geology and tectonics,3705
370512,field,Volcanology,3705
370599,field,Geology not elsewhere classified,3705
3706,group,Geophysics,37
370601,field,Applied geophysics,3706
370602,field,Electrical and electromagnetic methods in geophysics,3706
370603,field,Geodesy,3706
370604,field,Geodynamics,3706
370605,field,Geothermics and radiometrics,3706
370606,field,Gravimetrics,3706
370607,field,Magnetism and palaeomagnetism,3706
370608,field,Petrophysics and rock mechanics,3706
370609,field,Seismology and seismic exploration,3706
370699,field,Geophysics not elsewhere classified,3706
3707,group,Hydrology,37
370701,field,Contaminant hydrology,3707
370702,field,Ecohydrology,3707
370703,field,Groundwater hydrology,3707
370704,field,Surface water hydrology,3707
370705,field,Urban hydrology,3707
370799,field,Hydrology not elsewhere classified,3707
3708,group,Oceanography,37
370801,field,Biological oceanography,3708
370802,field,Chemical oceanography,3708
370803,field,Physical oceanography,3708
370899,field,Oceanography not elsewhere classified,3708
3709,group,Physical geography and environmental geoscience,37
370901,field,Geomorphology and earth surface processes,3709
370902,field,Glaciology,3709
370903,field,Natural hazards,3709
370904,field,Palaeoclimatology,3709
370905,field,Quaternary environments,3709
370906,field,Regolith and landscape evolution,3709
370999,field,Physical geography and environmental geoscience not elsewhere classified,3709
3799,group,Other earth sciences,37
379901,field,Earth system sciences,3799
379999,field,Other earth sciences not elsewhere classified,3799
38,division,ECONOMICS,
3801,group,Applied economics,38
380101,field,Agricultural economics,3801
380102,field,Behavioural economics,3801
380103,field,Economic history,3801
380104,field,Economics of education,3801
380105,field,Environment and resource economics,3801
380106,field,Experimental economics,3801
380107,field,Financial economics,3801
380108,field,Health economics,3801
380109,field,Industry economics and industrial organisation,3801
380110,field,International economics,3801
380111,field,Labour economics,3801
380112,field,Macroeconomics (incl. monetary and fiscal theory),3801
380113,field,Public economics - public choice,3801
380114,field,Public economics - publicly provided goods,3801
380115,field,Public economics - taxation and revenue,3801
380116,field,Tourism economics,3801
380117,field,Transport economics,3801
380118,field,Urban and regional economics,3801
380119,field,Welfare economics,3801
