code,level,label,parent_code
200103,objective,Human pain management,2001
200104,objective,Prevention of human diseases and conditions,2001
200105,objective,Treatment of human diseases and conditions,2001
200199,objective,Clinical health not elsewhere classified,2001
2002,group,Evaluation of health and support services,20
200201,objective,Determinants of health,2002
200202,objective,Evaluation of health outcomes,2002
200203,objective,Health education and promotion,2002
200204,objective,Health inequalities,2002
200205,objective,Health policy evaluation,2002
200206,objective,Health system performance (incl. effectiveness of programs),2002
200207,objective,Social structure and health,2002
200208,objective,Telehealth,2002
200299,objective,Evaluation of health and support services not elsewhere classified,2002
2003,group,Provision of health and support services,20
200301,objective,Allied health therapies (excl. mental health services),2003
200302,objective,Community health care,2003
200303,objective,Health surveillance,2003
200304,objective,Inpatient hospital care,2003
200305,objective,Mental health services,2003
200306,objective,Midwifery,2003
200307,objective,Nursing,2003
200308,objective,Outpatient care,2003
200309,objective,Palliative care,2003
200310,objective,Primary care,2003
200311,objective,"Urgent and critical care, and emergency medicine",2003
200399,objective,Provision of health and support services not elsewhere classified,2003
2004,group,Public health (excl. specific population health),20
200401,objective,Behaviour and health,2004
200402,objective,Dental health,2004
200403,objective,Disability and functional capacity,2004
200404,objective,Disease distribution and transmission (incl. surveillance and response),2004
200405,objective,Food safety,2004
200406,objective,Health protection and disaster response,2004
200407,objective,Health status (incl. wellbeing),2004
200408,objective,Injury prevention and control,2004
200409,objective,Mental health,2004
200410,objective,Nutrition,2004
200411,objective,Overweight and obesity,2004
200412,objective,Preventive medicine,2004
200413,objective,Substance abuse,2004
200499,objective,Public health (excl. specific population health) not elsewhere classified,2004
2005,group,Specific population health (excl. Indigenous health),20
200501,objective,Adolescent health,2005
200502,objective,Health related to ageing,2005
200503,objective,Health related to specific ethnic groups,2005
200504,objective,Men's health,2005
200505,objective,Migrant health,2005
200506,objective,Neonatal and child health,2005
200507,objective,Occupational health,2005
200508,objective,Rural and remote area health,2005
200509,objective,Women's and maternal health,2005
200599,objective,Specific population health (excl. Indigenous health) not elsewhere classified,2005
2099,group,Other health,20
209999,objective,Other health not elsewhere classified,2099
21,division,INDIGENOUS,
2101,group,Aboriginal and Torres Strait Islander community services,21
210101,objective,Aboriginal and Torres Strait Islander community service programs,2101
210102,objective,Aboriginal and Torres Strait Islander development and wellbeing,2101
210199,objective,Aboriginal and Torres Strait Islander community services not elsewhere classified,2101
2102,group,Aboriginal and Torres Strait Islander education,21
210201,objective,Aboriginal and Torres Strait Islander education engagement and attendance outcomes,2102
210202,objective,Aboriginal and Torres Strait Islander education system performance,2102
210203,objective,Aboriginal and Torres Strait Islander literacy and numeracy outcomes,2102
210299,objective,Aboriginal and Torres Strait Islander education not elsewhere classified,2102
2103,group,Aboriginal and Torres Strait Islander health,21
210301,objective,Aboriginal and Torres Strait Islander determinants of health,2103
210302,objective,Aboriginal and Torres Strait Islander health status and outcomes,2103
210303,objective,Aboriginal and Torres Strait Islander health system performance,2103
210399,objective,Aboriginal and Torres Strait Islander health not elsewhere classified,2103
